chave_produto,praca,pontos,alcance,impactos,frequencia
PR32508,SP,1,468405,907006,1.936368574969944
PR33191,SP,1,397176,903732,2.2753959055897943
PR41252,CE,1,357565,896184,2.5063533998340164
PR32669,SP,1,423708,894890,2.112040084879975
PR32670,SP,1,419896,892059,2.1244740935533035
PR30856,SP,1,548809,891253,1.6239739891018015
PR30930,SP,1,485111,891070,1.836837916968178
PR40489,SP,1,419476,884152,2.1077546440545887
PR32507,SP,1,511578,880115,1.720390422669895
PR40835,SP,1,433278,880039,2.031119350721264
PR32664,SP,1,488794,876914,1.7940351589651473
PR40619,SP,1,528015,875753,1.6585745290737692
PR34477,RS,1,343870,871270,2.533716238940427
PR30907,SP,1,504613,869747,1.7235901362433923
PR33048,SP,1,520213,864798,1.6623929064166072
PR33184,SP,1,522468,863718,1.6531493309482967
PR40330,SP,1,496843,861015,1.7329722000936312
PR41223,CE,1,336304,860879,2.5598238024575064
PR39875,BA,1,438131,858244,1.9588732187598275
PR39344,SP,1,449925,857483,1.905834493488985
PR34593,PE,1,332816,852788,2.562335864967341
PR33472,SP,1,460161,848971,1.844942548858505
PR39369,SP,1,506916,848967,1.6747692369605147
PR16489,MG,1,434392,845374,1.9461097592471832
PR31006,SP,1,507815,840280,1.6546972724047682
PR32363,SP,1,507817,840269,1.6546692031181465
PR41239,CE,1,407876,839899,2.059203347761817
PR33033,SP,1,506165,836243,1.6521137497454392
PR35267,SP,1,475844,834107,1.7529002814849133
PR35268,SP,1,475847,834095,1.7528624965805764
PR41159,CE,1,343170,833519,2.4288815288207046
PR32633,SP,1,529072,833064,1.5745762033350008
PR33178,SP,1,529070,833051,1.5745577466454157
PR39766,BA,1,329994,829251,2.5129292032062156
PR31018,SP,1,493747,825841,1.6725978187123505
PR32321,SP,1,493740,825839,1.6726167771736669
PR33832,PE,1,347386,825318,2.3757945045158944
PR33163,SP,1,473144,822620,1.7386265088638537
PR40381,SP,1,534447,815725,1.5262956969238723
PR33049,SP,1,419517,814973,1.9426453538173252
PR33480,SP,1,498540,813643,1.63205149243482
PR33453,SP,1,492219,811458,1.648570316756231
PR39119,PE,1,373104,807941,2.165455648045546
PR30929,SP,1,443643,806117,1.8170394708251083
PR33467,SP,1,432568,801436,1.8527407713931683
PR40181,SP,1,415974,798527,1.9196542076414351
PR30971,SP,1,508532,797608,1.5684511259412275
PR30887,SP,1,409199,794449,1.9414740260851078
PR32640,SP,1,393059,788460,2.0059583359167004
PR34481,RS,1,255443,788294,3.08598267726048
PR34457,RS,1,303529,787556,2.5946612259673776
PR39573,PE,1,381044,786909,2.065135673228692
PR34673,PE,1,381061,786909,2.0650471909773858
PR39756,BA,1,330607,784864,2.374002757767591
PR33162,SP,1,405429,783297,1.9320224026396138
PR39582,PE,1,259967,781911,3.0077235316704147
PR30855,SP,1,495094,780578,1.5766264513089665
PR33019,SP,1,396994,777048,1.9573265266626745
PR33481,SP,1,477417,769895,1.612626202432881
PR30933,SP,1,464902,767308,1.6504713136748828
PR32394,SP,1,474252,765640,1.6144165666126526
PR32389,SP,1,474242,765636,1.6144431374936319
PR32391,SP,1,474258,765636,1.6143880825758645
PR32392,SP,1,474259,765636,1.614381997245139
PR32393,SP,1,474246,765636,1.6144271269321155
PR32447,SP,1,399991,762742,1.9068969250081191
PR32644,SP,1,386008,762259,1.9747213577981853
PR33046,SP,1,385256,760185,1.9731944570695226
PR39902,BA,1,362454,759777,2.096202254351925
PR35284,SP,1,403135,757960,1.880163039946166
PR35283,SP,1,403141,757950,1.8801110597809048
PR42710,BA,1,403025,757686,1.8799936470573113
PR39351,SP,1,399518,753862,1.8869281913136182
PR40820,PE,1,376284,749009,1.9905378061613592
PR16482,MG,1,319039,745739,2.3374484719590543
PR39770,BA,1,293361,740379,2.5237818478616494
PR32364,SP,1,459220,739153,1.6095813805593726
PR33491,SP,1,459219,739150,1.6095778684861928
PR33492,SP,1,459234,739147,1.6095203899635122
PR32365,SP,1,459235,739138,1.60949884069262
PR30880,SP,1,430205,739028,1.717850896419832
PR32390,SP,1,459903,737810,1.6042715509473637
PR41164,CE,1,326582,737173,2.257237010697558
PR32517,SP,1,370978,736369,1.9849361533855223
PR41162,CE,1,310061,735708,2.372778899650286
PR30911,SP,1,403893,734387,1.8182677476108817
PR33192,SP,1,380789,733829,1.9271238606546135
PR39761,BA,1,286316,731138,2.5536020608801078
PR30920,SP,1,453178,727885,1.6061795063562956
PR39757,BA,1,300570,719319,2.3931769853340783
PR39840,BA,1,373034,715113,1.9170145184006784
PR33837,PE,1,343891,711200,2.068098173228047
PR33878,PE,1,343898,711200,2.0680542171442395
PR30949,SP,1,449778,708500,1.575221610212281
PR30899,SP,1,380307,706024,1.8564554892616085
PR39874,BA,1,342909,704674,2.0549873750923857
PR39879,BA,1,318982,702838,2.2033780759595434
PR33188,SP,1,355227,688744,1.9388809590781981
PR42881,BA,1,266532,674838,2.5319218657539264
PR30881,SP,1,412459,671937,1.6290973865917524
PR35282,SP,1,397248,669071,1.6842658477123222
PR30955,SP,1,397264,669061,1.6841707967612847
PR42629,PE,1,306494,666300,2.1739384811748845
PR39804,BA,1,345710,662820,1.9172688341872308
PR33464,SP,1,357403,661691,1.8513846084801169
PR33802,PE,1,256224,660324,2.577134159858574
PR39345,SP,1,361700,659453,1.823203418786027
PR39346,SP,1,361694,659451,1.823227860369477
PR32641,SP,1,363565,655629,1.8033311862677581
PR30990,SP,1,363568,655625,1.8033095046868812
PR39862,BA,1,325695,651684,2.0009044040109285
PR42516,BA,1,262175,649532,2.4774696380218506
PR16481,MG,1,355828,649205,1.8244900908322228
PR33045,SP,1,337410,646283,1.9154233826272455
PR39859,BA,1,334320,639668,1.9133386230631964
PR39887,BA,1,319104,634106,1.987142032649016
PR42799,CE,1,247845,633629,2.556547723038971
PR16516,MG,1,315559,633012,2.0059987384953617
PR40265,SP,1,391769,632808,1.615257974916819
PR33499,SP,1,386008,629989,1.6320612303884736
PR39774,BA,1,298887,626548,2.0962683586209407
PR39883,BA,1,296285,626347,2.113998022990231
PR33175,SP,1,406770,624345,1.5348832018104739
PR32673,SP,1,398366,619771,1.5557827390192502
PR32339,SP,1,398379,619767,1.5557236478311975
PR33186,SP,1,368629,619602,1.6808282628607842
PR42875,BA,1,266803,619387,2.321513907130576
PR42877,BA,1,267233,618001,2.3125934717807746
PR39776,BA,1,262243,617595,2.355046482554099
PR33829,PE,1,312856,617353,1.9732794718504474
PR30900,SP,1,284668,616994,2.167415034317465
PR41243,CE,1,271987,616614,2.2670650741983565
PR39872,BA,1,351897,616331,1.7514494125480884
PR30954,SP,1,366965,615174,1.6763804796496675
PR30901,SP,1,373316,611685,1.6385177275696485
PR40855,SP,1,373307,611684,1.638552193923228
PR43167,BA,1,244508,610470,2.49672536959961
PR32362,SP,1,385055,609541,1.582995884230745
PR32678,SP,1,385052,609538,1.583001073386292
PR32677,SP,1,385062,609536,1.582953213558597
PR32361,SP,1,385060,609526,1.5829360258542087
PR42227,RS,1,239447,609084,2.5437082069103423
PR16486,MG,1,342544,606685,1.7711129186295016
PR32352,SP,1,366189,600795,1.6406658206938978
PR33059,SP,1,360297,600651,1.6670965608217798
PR31009,SP,1,368061,599629,1.629158048421242
PR41602,SP,1,369358,599151,1.6221391797842462
PR32387,SP,1,366291,594733,1.6236632220484686
PR32685,SP,1,366280,594726,1.623691805723289
PR32388,SP,1,366290,594724,1.6236423243788298
PR30996,SP,1,366286,594721,1.623651213211251
PR40347,SP,1,354470,591982,1.670048906504786
PR39860,BA,1,319394,591922,1.8532607661087115
PR30940,SP,1,363788,591474,1.6258739719963364
PR32652,SP,1,354934,591355,1.6660964017922408
PR33485,SP,1,323996,587427,1.8130687141967277
PR39851,BA,1,266589,586578,2.200305180743012
PR33508,SP,1,373727,586302,1.56879601196112
PR30904,SP,1,288113,585412,2.031881265089327
PR39881,BA,1,272889,582980,2.1363230705322174
PR30910,SP,1,336247,582815,1.7332897048145572
PR30962,SP,1,361344,579475,1.6036661465444073
PR42706,BA,1,268219,578097,2.1553157312044298
PR31016,SP,1,341497,571277,1.6728631178925453
PR30909,SP,1,308837,567299,1.8368880334073832
PR33051,SP,1,318007,565590,1.7785441715678365
PR31027,SP,1,336768,564120,1.6751008163805496
PR32665,SP,1,327027,560846,1.7149811376949795
PR30918,SP,1,341614,560278,1.640091321749484
PR30879,SP,1,347059,558158,1.6082506390976123
PR41213,CE,1,301541,558117,1.8508825688709878
PR33017,SP,1,322860,555735,1.7212856763348088
PR39857,BA,1,263953,553099,2.0954436239334813
PR41219,CE,1,285319,551896,1.9343080991925554
PR40862,BA,1,182154,551805,3.0293322748900247
PR42639,PE,1,294407,550107,1.8685250768874644
PR39848,BA,1,279819,550031,1.965663720052657
PR39871,BA,1,296801,546742,1.8421104925880047
PR33013,SP,1,320879,544991,1.6984278912629724
PR33879,PE,1,257424,544534,2.115319319149313
PR42708,BA,1,228410,543151,2.3779678354924245
PR30977,SP,1,304620,542855,1.7820695889720948
PR33062,SP,1,304224,542323,1.7826446302452634
PR33025,SP,1,304238,542322,1.782553943208126
PR39867,BA,1,314901,541025,1.7180771577656575
PR33036,SP,1,311731,537681,1.7248223568650634
PR33811,PE,1,267218,537602,2.011848558939578
PR40282,SP,1,335471,535553,1.5964227608347668
PR40378,SP,1,338991,534915,1.5779595586147575
PR40374,SP,1,339000,534911,1.5779089235078008
PR40377,SP,1,338996,534910,1.5779255264152394
PR40373,SP,1,338990,534909,1.5779506153187817
PR40376,SP,1,339001,534904,1.577881435825381
PR41244,CE,1,281261,533123,1.8954698243210581
PR34454,RS,1,203047,532681,2.623429212853638
PR30888,SP,1,316859,528848,1.6690318039508276
PR30973,SP,1,333242,528665,1.5864269898697845
PR39802,BA,1,261327,528061,2.0206883380243834
PR42596,PE,1,257263,527907,2.0520136313247597
PR32367,SP,1,329005,527450,1.6031676413477545
PR42371,CE,1,252632,524963,2.077975969187157
PR33173,SP,1,285087,522779,1.8337543041234978
PR32430,SP,1,329449,516445,1.567599544731618
PR41423,BA,1,254614,514868,2.022145883815635
PR32490,SP,1,291193,513205,1.7624197226794398
PR30995,SP,1,287988,512456,1.779434349360509
PR41241,CE,1,251565,511916,2.0349237697053177
PR30974,SP,1,325740,511367,1.569862390124554
PR32368,SP,1,322135,511141,1.586731703149756
PR34511,RS,1,225521,510391,2.2631620091750855
PR33196,SP,1,318983,508184,1.5931373693894082
PR31030,SP,1,317350,505013,1.5913430300277207
PR39815,BA,1,216616,503282,2.3233807441941243
PR39585,PE,1,266297,503270,1.8898811422644652
PR33171,SP,1,315026,502117,1.5938904187425502
PR41240,CE,1,239726,500962,2.0897226155518247
PR30878,SP,1,300704,500629,1.6648557063623126
PR33839,PE,1,225231,500131,2.2205180024114717
PR16488,MG,1,234225,498617,2.1287894940379344
