chave_produto,praca,pontos,alcance,impactos,frequencia
CI548,PE,17,1061458,3528855,3.3245356858208237
CI547,PE,41,1686727,8802320,5.218580125888778
CI546,PE,17,1153502,3506576,3.039939245879071
CI442,PE,27,1312460,4966693,3.784262377520077
CI43,PE,44,779619,3280132,4.2073525658045785
CI296,PE,77,2368459,16635671,7.023837440293456
CI521,RS,31,710597,3071031,4.321761842507075
CI444,RS,42,891994,4372861,4.902343513521392
CI440,RS,81,1423290,9515873,6.685828608365126
CI439,RS,24,929952,3209078,3.4507996111627266
CI299,RS,25,703293,2219399,3.1557245699871888
CI298,RS,28,749905,3099895,4.133716937478748
CI291,RS,34,757190,3061258,4.042919214464005
CI572,CE,30,2340521,8298646,3.5456404791924534
CI477,CE,52,1393426,7800514,5.59808271124552
CI497,PR,50,906939,2598223,2.864826631118521
CI16,PR,21,742339,1732118,2.3333248017415222
CI540,CP,2,27398,33092,1.2078253887145047
CI539,CP,1,14644,17060,1.1649822452881726
CI538,CP,2,12337,15104,1.2242846721245035
CI537,CP,2,15004,18039,1.20227939216209
CI536,CP,2,12051,13785,1.1438884739855613
CI535,CP,2,32065,40402,1.2600031186652112
CI534,CP,2,46200,61703,1.3355627705627706
CI280,CP,69,487978,2198637,4.50560681014308
CI570,SC,13,699420,1601802,2.2901861542420865
CI89,DF,64,1388770,7554966,5.440041187525652
CI676,BA,82,1787843,14304851,8.0011785151157
CI638,BA,47,1545450,8474449,5.483483127891553
CI637,BA,39,1491522,6491833,4.352488934122326
CI636,BA,33,1575886,7849090,4.980747338322696
CI543,BA,216,1876177,25357335,13.51542791538325
CI484,BA,118,1854233,18569063,10.014417281970497
CI545,BA,69,1657615,10081309,6.081815741290951
CI611,BA,35,1083030,4500557,4.155523854371531
CI620,BA,66,1605903,11269882,7.017785009430831
CI518,BA,30,1328005,5961621,4.4891555378180055
CI519,BA,24,760598,2363988,3.108064969931554
CI571,BA,34,593151,3075575,5.1851467838712235
CI622,RJ,2,121156,173716,1.4338208590577437
CI610,RJ,26,1204439,5500335,4.566719443658002
CI608,RJ,21,1190699,5320097,4.468045240652759
CI575,RJ,63,1929597,7067981,3.66293117163843
CI574,RJ,28,837924,1791755,2.138326387596011
CI573,RJ,2,40562,49065,1.2096297026773828
CI541,RJ,2,44029,64264,1.4595834563583092
CI533,RJ,3,59736,90480,1.5146645239051828
CI532,RJ,2,36496,60738,1.6642371766768962
CI531,RJ,1,17353,20316,1.1707485737336483
CI530,RJ,2,13327,18541,1.3912358370225857
CI15,RJ,49,1482362,4821648,3.25267917013523
CI2,MG,55,1904882,7515309,3.945288474561679
CI520,MG,32,1091844,2991571,2.7399253006839803
CI301,MG,48,1653504,6239311,3.773387303568664
CI645,SP,52,4020492,10278831,2.5566102357621903
CI494,SP,662,8532339,95468191,11.188982411505215
CI652,SP,65,3693525,15816698,4.282277228392931
CI651,SP,66,3318984,13276634,4.0002103053223514
CI649,SP,4,197386,398861,2.020715754916762
CI647,SP,4,85853,174811,2.036166470595087
CI646,SP,4,154021,340014,2.207582082962713
CI644,SP,63,4226536,14645531,3.4651381178345577
CI642,SP,64,4636169,15042142,3.2445197748399592
CI641,SP,66,4399471,13938298,3.1681759011481154
CI640,SP,65,4301024,15278273,3.552240815210517
CI639,SP,66,4461440,16252040,3.6427790130540814
CI635,SP,5,111935,261683,2.3378121231071605
CI633,SP,6,672991,1629948,2.4219462073044067
CI632,SP,1,39968,43661,1.0923989191353083
CI631,SP,5,74536,159834,2.1443866051304066
CI542,SP,56,4005950,9775353,2.440208439945581
CI529,SP,7,1085559,1426680,1.3142353386596215
CI528,SP,7,335421,423747,1.2633287719015804
CI527,SP,8,827651,1341744,1.6211470776933756
CI526,SP,7,684705,885938,1.2938973718608744
CI525,SP,8,392034,485062,1.2372957447568322
CI524,SP,7,898643,1197428,1.3324846462944684
CI523,SP,7,496711,621078,1.250381006259173
CI513,SP,10,1744072,3463199,1.9856972647918205
CI504,SP,1,193127,229581,1.1887566212906533
CI293,SP,48,3709182,9326961,2.514560083597947
CI288,SP,99,5226354,21161825,4.049060779273658
CI285,SP,97,5121876,19929216,3.890999313532776
CI284,SP,103,5058675,22455910,4.4390892872145375
CI268,SP,103,5722746,22508202,3.9331121807607747
CI267,SP,103,4892317,17200573,3.5158337041528585
CI643,SP,66,4320763,14392116,3.330920025004843
PR40524,BA,1,1050800,3070437,2.9219983862968313
PR40583,BA,1,846493,2976927,3.5167750189419635
PR42123,BA,1,1122695,2951862,2.6292643466037955
PR40580,BA,1,815415,2752261,3.375288754805835
PR40389,BA,1,917057,2523635,2.7518820022980885
PR41427,BA,1,970911,2514116,2.5894380870699263
PR40388,BA,1,847313,2422302,2.8588027602434734
PR42873,BA,1,994621,2374570,2.387411635199878
PR40527,BA,1,887456,2300269,2.591980928770181
PR34380,RS,1,661795,2129892,3.2183546384348163
PR42124,BA,1,878538,2075052,2.3619356987732676
PR27058,DF,1,714338,1947331,2.7260636896858403
PR40553,BA,1,727284,1825171,2.5095712193762867
PR38544,RS,1,590655,1803496,3.053380272356994
PR38545,RS,1,590652,1803490,3.0533844765213076
PR27073,DF,1,695966,1699802,2.4423607134529055
PR42733,DF,1,704786,1626274,2.307471979021611
PR27057,DF,1,629221,1611414,2.560966885069524
PR34245,RS,1,526477,1517174,2.8817472102591637
PR34246,RS,1,526478,1517167,2.8817301634820107
PR40647,PE,1,629259,1445637,2.2973641502419726
PR34322,RS,1,477173,1390766,2.9145919405217997
PR40492,BA,1,491757,1275828,2.5944241706914792
PR42871,BA,1,565833,1245441,2.201073615590415
PR27085,DF,1,475477,1229662,2.5861610609858574
PR27118,DF,1,488702,1226106,2.508901163206845
PR39459,BA,1,515404,1210091,2.3478488196401175
PR27077,DF,1,536675,1180006,2.198731651541025
PR34349,RS,1,391240,1086017,2.7758308711228263
PR40491,BA,1,488831,1074569,2.1982382043923643
PR27060,DF,1,481919,1070050,2.2203931819304223
PR34243,RS,1,399314,993826,2.488833382626167
PR27083,DF,1,413165,925211,2.239325589268202
PR34298,RS,1,350447,923005,2.6337909700776034
PR40683,PE,1,410761,911945,2.220135070199665
PR34321,RS,1,361042,909155,2.518136499723177
PR38500,RS,1,328017,906553,2.763735590025388
PR38501,RS,1,328010,906552,2.76379456334901
PR41021,DF,1,437995,899624,2.0539572395821586
PR41023,DF,1,395338,876847,2.2179674001072147
PR27117,DF,1,385052,871477,2.2632686779377824
PR34318,RS,1,343858,871249,2.5337450685389404
PR27061,DF,1,418586,863828,2.0636780919189
PR27123,DF,1,401141,862887,2.1510795857684446
PR34353,RS,1,313297,858348,2.7397215950940454
PR27081,DF,1,404482,850658,2.1030794585887027
PR42275,PE,1,388913,850394,2.1865886493885474
PR27072,DF,1,412849,848447,2.0551006306074604
PR27124,DF,1,401079,837861,2.0890153265635862
PR42276,PE,1,368050,837183,2.2746393032767833
PR38508,RS,1,289363,822217,2.8414667626012653
PR38509,RS,1,289360,822212,2.841483994100363
PR38541,RS,1,337578,813360,2.409394613292773
PR38540,RS,1,337576,813352,2.4093868594383276
PR34333,RS,1,303732,797040,2.624155111538973
PR34253,RS,1,304649,789225,2.590599122546782
PR34237,RS,1,298045,785299,2.63483453840863
PR42603,PE,1,358321,785034,2.1908652859583877
PR34239,RS,1,255875,779051,3.0446566435185174
PR40576,BA,1,322958,778017,2.409034066706356
PR41026,DF,1,399715,774284,1.9370890637044513
PR27116,DF,1,374424,767249,2.0491419608037527
PR27074,DF,1,372515,756004,2.0294562089451857
PR38522,RS,1,291606,754199,2.5863577325574716
PR38523,RS,1,291612,754190,2.586273203143194
PR34234,RS,1,242392,751353,3.099745387699581
PR34233,RS,1,242390,751347,3.099744366653873
PR40652,PE,1,361849,746079,2.0618525703321398
PR40556,BA,1,390572,745417,1.9085275512432365
PR42807,PE,1,336765,717872,2.131667402538897
PR34319,RS,1,291123,716104,2.4598008066208963
PR41027,DF,1,356255,710380,1.994015791846756
PR34284,RS,1,274332,703862,2.565726194725466
PR34329,RS,1,274158,703276,2.5652186282911984
PR27125,DF,1,338854,700706,2.067867071367275
PR40697,PE,1,332465,692722,2.0835891766219987
PR38505,RS,1,269879,690361,2.5580380855512233
PR38504,RS,1,269871,690356,2.5580935922315273
PR34324,RS,1,308667,681944,2.209318100832162
PR34376,RS,1,284991,680544,2.3879472273420626
PR34364,RS,1,217061,675028,3.1098567638328563
PR38450,RS,1,263176,674532,2.5630377182068576
PR38451,RS,1,263187,674524,2.5629070914472356
PR42016,DF,1,343617,658844,1.9173762364207796
PR27076,DF,1,340200,650759,1.9128722209995759
PR19084,PE,1,331387,644049,1.9434920008407064
PR34316,RS,1,271336,632526,2.331156942187147
PR34247,RS,1,280932,611759,2.177600665496992
PR38514,RS,1,253829,598437,2.3576385901313732
PR38515,RS,1,253824,598428,2.3576485447993316
PR34248,RS,1,271979,585193,2.1516112784583625
PR27121,DF,1,292860,576497,1.9685086198483683
PR34368,RS,1,246321,573992,2.330256842503202
PR34311,RS,1,227753,565003,2.4807693852886845
PR27086,DF,1,261096,564430,2.161771357701004
PR34312,RS,1,263079,555322,2.1108561224148468
PR19071,PE,1,283566,554487,1.9554047887910135
PR34357,RS,1,188891,550055,2.912023669067589
PR38457,RS,1,188796,549503,2.9105647197535123
PR38456,RS,1,188790,549501,2.9106412086752886
PR19094,PE,1,280356,545729,1.9465565425139368
PR27080,DF,1,286292,533814,1.86457586828578
PR38986,CP,1,254098,530684,2.0885039097507403
PR38987,CP,1,254096,530676,2.088482030804088
PR38543,RS,1,242211,527888,2.1794553371680316
PR38542,RS,1,242193,527880,2.1795841046701776
PR40958,BA,1,274732,525414,1.9124568052906112
PR34292,RS,1,228506,523923,2.2928141756630533
PR34385,RS,1,220518,511310,2.318669515343685
PR42946,BA,1,270751,509680,1.882466424990941
PR42869,PE,1,274797,508019,1.8487032934625516
PR34328,RS,1,217446,507586,2.334310233844937
PR19077,PE,1,259672,506519,1.950614238323183
PR34345,RS,1,218353,506340,2.3189017184429574
PR34343,RS,1,218356,506336,2.3188532229205205
PR34344,RS,1,218358,506334,2.318823376236666
PR42827,PE,1,264200,500593,1.8947485676587046
PR19056,PE,1,222800,479182,2.150728859309821
PR34241,RS,1,210420,477841,2.2708871175045737
PR34235,RS,1,210417,477831,2.2708732806638072
PR39094,CP,1,244595,474325,1.939224703732006
PR39093,CP,1,244593,474313,1.9391896278646477
PR39092,CP,1,244597,474311,1.939149552953705
PR39095,CP,1,244587,474310,1.9392244197388333
PR40646,PE,1,240347,470601,1.9580089672836816
PR34356,RS,1,211023,469974,2.2271152591192154
PR31596,CP,1,240523,468980,1.9498328230576958
PR42947,BA,1,250570,465684,1.8584947704004309
PR34293,RS,1,166397,465293,2.796267862674991
PR34342,RS,1,229089,463913,2.0250335808236692
PR34338,RS,1,229106,463912,2.024880067675139
PR34339,RS,1,229098,463908,2.0249343807389435
PR34341,RS,1,229101,463905,2.0248891419353803
PR40648,PE,1,226925,453388,1.9979665985061685
PR27090,DF,1,249746,453188,1.8145905908451825
PR34244,RS,1,176664,453016,2.5642708301552313
PR38460,RS,1,176618,452875,2.564147540149168
PR38461,RS,1,176618,452873,2.564130372809271
PR31231,CP,1,186542,452202,2.4241274255096323
PR27119,DF,1,238140,445393,1.870293429410968
PR34263,RS,1,165567,433592,2.6188322438455467
PR34310,RS,1,195428,432179,2.211447250683767
PR34294,RS,1,152325,432155,2.837048215332931
PR19058,PE,1,183328,429381,2.342138503719959
PR42664,PE,1,219933,427575,1.9441117883360197
PR34300,RS,1,215466,427553,1.984316253886105
PR19088,PE,1,227812,423434,1.8587021807221433
PR34386,RS,1,204917,418255,2.0410880730454632
PR38502,RS,1,182123,412353,2.2641452081108193
PR38503,RS,1,182125,412344,2.264068958633012
PR19079,PE,1,213945,410908,1.9206267624843674
PR19072,PE,1,222856,408021,1.8308757686349382
PR34366,RS,1,188028,406829,2.163662363621434
PR34367,RS,1,188038,406828,2.163533167431561
PR38532,RS,1,185549,404072,2.177707444970096
PR38533,RS,1,185558,404069,2.1775915336953364
PR34334,RS,1,175160,402841,2.2998365159514553
PR34379,RS,1,154596,402807,2.6055340102557136
PR42594,PE,1,204929,397774,1.9410309369103456
PR31312,CP,1,176874,390616,2.208432289836571
PR34359,RS,1,197042,389138,1.974898690540118
PR38583,CP,1,196943,386971,1.964889335244749
PR38582,CP,1,196946,386964,1.964819992757425
PR34269,RS,1,179985,385723,2.143083407455156
PR38517,RS,1,180087,383327,2.1285628589262764
PR38516,RS,1,180101,383322,2.128373730088267
PR34575,CP,1,184107,376918,2.047277231164585
PR27095,DF,1,192471,370792,1.926483004153246
PR41028,DF,1,208868,370447,1.7735880501821262
PR34256,RS,1,140260,370329,2.6402926717490525
PR38587,CP,1,189296,370006,1.9546341127898266
PR38586,CP,1,189298,369997,1.95457180545203
PR19054,PE,1,194363,367609,1.8913514849544313
PR38454,RS,1,171700,361821,2.1072799268961315
PR38455,RS,1,171716,361812,2.107027141357249
PR34377,RS,1,176470,359669,2.0381292078919255
PR38708,CP,1,156409,359625,2.2992617512011595
PR38709,CP,1,156414,359624,2.2991714087559956
PR38801,CP,1,153443,356766,2.325065460474308
PR38800,CP,1,153438,356757,2.325092328817351
PR19051,PE,1,172016,356003,2.0695873563255143
PR41025,DF,1,198731,353420,1.7783841751569092
PR38969,CP,1,193841,351542,1.8135576755711658
PR38966,CP,1,193831,351532,1.8136023281697176
PR38967,CP,1,193835,351529,1.8135436054314622
PR38968,CP,1,193841,351523,1.8134607737592987
PR19059,PE,1,193414,351081,1.8151760479363896
PR19038,PE,1,193417,351067,1.8150800541482321
PR34326,RS,1,154968,349448,2.2549640214234357
PR38940,CP,1,192676,348990,1.8112739366094341
PR38941,CP,1,192677,348978,1.811203202027009
PR27082,DF,1,189301,345339,1.8242832986355615
PR38525,RS,1,161302,340589,2.111490404963538
PR38524,RS,1,161286,340581,2.111660396962691
PR32708,PE,1,180593,339667,1.8808340306623967
PR38613,CP,1,174965,339588,1.9408872544363236
PR38612,CP,1,174960,339577,1.9408767364092927
PR31080,CP,1,174975,339576,1.9407113558290219
PR27093,DF,1,171072,339533,1.9847329971140368
PR39087,CP,1,175314,339342,1.9356173450611047
PR39086,CP,1,175324,339338,1.935481002561244
PR34277,RS,1,153957,338794,2.2005732231669923
PR39083,CP,1,174086,336336,1.932011682935793
PR39082,CP,1,174079,336323,1.9320107024780833
PR38799,CP,1,142830,334658,2.343040248596206
PR38798,CP,1,142846,334656,2.342774568456801
PR39462,BA,1,178364,334428,1.8749762704650068
PR39463,BA,1,178369,334419,1.8748712083624164
PR34295,RS,1,134164,333381,2.4848742921924836
PR34578,CP,1,170381,329229,1.9323108139968315
PR27115,DF,1,170903,326930,1.9129517969539962
PR41024,DF,1,183830,326454,1.7758449711348288
PR34579,CP,1,152796,325944,2.133192383333388
PR38761,CP,1,138340,324541,2.345955153521176
PR38760,CP,1,138340,324533,2.3459102271067986
PR38746,CP,1,137904,323856,2.348417001609524
PR38769,CP,1,137917,323536,2.345869130379835
PR38768,CP,1,137921,323528,2.3457476389064307
PR38607,CP,1,168752,320813,1.9010860615932674
PR38606,CP,1,168757,320804,1.9009723514013446
PR38538,RS,1,165340,320686,1.939553967397438
PR38539,RS,1,165329,320677,1.9396288717261108
PR41022,DF,1,179385,319561,1.7814195751747994
PR38513,RS,1,161608,318428,1.9703706760932345
PR38512,RS,1,161614,318420,1.970249433218822
PR19080,PE,1,175466,316454,1.8035020554045962
PR19089,PE,1,162407,313849,1.932478397867883
PR34282,RS,1,162728,313684,1.9276511639211276
PR38767,CP,1,133995,310574,2.3177933391325216
PR38766,CP,1,134001,310568,2.3176492054193423
PR27079,DF,1,171423,310177,1.8094245204580215
PR34252,RS,1,111085,303046,2.7280541983161237
PR34251,RS,1,110932,302673,2.728457711586301
PR19055,PE,1,164904,300071,1.819670536583295
PR39088,CP,1,139031,298335,2.1458169446058193
PR39091,CP,1,139040,298333,2.145663319577601
PR39090,CP,1,139027,298333,2.1458551905009955
PR39089,CP,1,139037,298328,2.1456726898517364
PR34296,RS,1,140848,297439,2.1117691077782923
PR27089,DF,1,174761,295276,1.6895929577347928
PR27100,DF,1,161782,293499,1.8141573764330945
PR31229,CP,1,139585,291051,2.085109472673097
PR42692,PE,1,151288,290900,1.9228165647697728
PR27088,DF,1,166523,290441,1.744144123585975
PR34315,RS,1,146263,288505,1.9725039247680654
PR38835,CP,1,138258,286156,2.0697291363625414
PR38834,CP,1,138238,286154,2.0700064591253975
PR19057,PE,1,134861,284530,2.1097953111545253
PR19083,PE,1,154071,284250,1.8449296707636076
PR38452,RS,1,132477,283687,2.1414100034783368
PR34306,RS,1,132472,283678,2.1414091371484147
PR38453,RS,1,132463,283677,2.141549786794323
PR19091,PE,1,146130,282357,1.9322214627814562
PR19075,PE,1,146115,282338,1.9322954390051554
PR27122,DF,1,161868,282267,1.7438089723906105
PR42828,PE,1,153877,271390,1.7636786393421304
PR39097,CP,1,125564,269107,2.143189596897457
PR39096,CP,1,125573,269106,2.1430272884877413
PR34309,RS,1,141585,268753,1.8981672165572605
PR38493,RS,1,100039,266468,2.663627242720122
PR38492,RS,1,100030,266465,2.6638420979338227
PR34242,RS,1,98249,260416,2.6505485452550728
PR40655,PE,1,137934,258638,1.875077255630608
PR34363,RS,1,132398,258562,1.9529077694068628
PR38838,CP,1,140429,258292,1.8393023736565575
PR38839,CP,1,140416,258285,1.8394199815392605
PR38711,CP,1,140414,258285,1.83944313922609
PR38710,CP,1,140430,258283,1.8392311764959306
PR42640,PE,1,135482,258048,1.9046629358574052
PR19062,PE,1,146295,256264,1.7516848561753657
PR19069,PE,1,146301,256260,1.7515897610597706
PR34279,RS,1,115615,254851,2.204297391392797
PR34254,RS,1,109336,253868,2.321886033262851
PR34351,RS,1,132887,252965,1.903614166796978
PR34304,RS,1,121975,249493,2.0454338036556723
PR34305,RS,1,121980,249489,2.045315425404846
PR34303,RS,1,121976,249488,2.0453889103639606
PR38868,CP,1,124861,248386,1.9892974344003944
PR38869,CP,1,124858,248384,1.989327909802457
PR34275,RS,1,114038,246848,2.1646142369548538
PR34276,RS,1,114030,246845,2.164737159980956
PR40098,PE,1,109808,240035,2.185938410389406
PR38510,RS,1,124999,239544,1.916360473014892
PR38511,RS,1,124993,239540,1.916425920429335
PR34360,RS,1,124805,239045,1.9153460414093488
PR19067,PE,1,124360,237732,1.911644138151307
PR19039,PE,1,124357,237721,1.9115954498887884
PR38895,CP,1,135326,235781,1.742313281918464
PR38898,CP,1,135327,235775,1.742251581029873
PR38894,CP,1,135314,235765,1.7423508433199997
PR38899,CP,1,135325,235764,1.7422022618306727
PR34378,RS,1,106551,233780,2.1940566459712203
PR27084,DF,1,116921,233538,1.997399869621435
PR38518,RS,1,112634,231862,2.0585505056908198
PR38519,RS,1,112627,231851,2.0585788959458062
PR38667,CP,1,132178,231204,1.7491806538064871
PR38666,CP,1,132177,231199,1.749156362859448
PR19068,PE,1,121502,231083,1.9018811750644717
PR34259,RS,1,111030,230737,2.0781404503626333
PR38936,CP,1,119951,229728,1.9151802510535316
PR38930,CP,1,119939,229727,1.9153595078586272
PR38931,CP,1,119941,229718,1.9152506522127544
PR38937,CP,1,119940,229713,1.915226954008901
PR34323,RS,1,122075,225631,1.8482963034078848
PR38926,CP,1,129839,224677,1.7304263333642431
PR38927,CP,1,129846,224669,1.7302691928634708
PR34317,RS,1,120489,224364,1.8621051770180026
PR34371,RS,1,120486,224362,1.8621321546035432
PR38942,CP,1,123150,223743,1.8168295703224917
PR38943,CP,1,123149,223736,1.8167907448434024
PR38893,CP,1,117720,221918,1.8851260136716985
PR34230,RS,1,101441,220224,2.170942528400239
PR38687,CP,1,117630,218088,1.8540075760750818
PR38686,CP,1,117631,218073,1.8538609104473756
PR38632,CP,1,99188,218007,2.1979047659758773
PR38633,CP,1,99180,218003,2.1980389559112425
PR39070,CP,1,120448,216510,1.797540553110706
PR39071,CP,1,120452,216504,1.7974249095929704
PR27087,DF,1,127807,215359,1.6850286003469739
PR38470,RS,1,113622,208540,1.8353763773407024
PR38471,RS,1,113622,208523,1.8352313897342576
PR19073,PE,1,117442,204487,1.7411753025550338
PR39069,CP,1,114475,204130,1.783178150390773
PR39068,CP,1,114487,204126,1.7829615582454044
PR38885,CP,1,118685,203342,1.7132944248164304
PR38884,CP,1,118698,203338,1.713064867466047
PR40599,PE,1,112319,202476,1.8026914038113562
PR38619,CP,1,109897,200895,1.8280268988316497
PR38618,CP,1,109889,200882,1.8280399699734706
PR38463,RS,1,106567,199446,1.8715566044065441
PR38462,RS,1,106568,199438,1.8714621461911598
PR34232,RS,1,97824,198626,2.030439496476435
PR34272,RS,1,93678,197913,2.11268362490785
PR34320,RS,1,99562,197526,1.9839439241616632
PR34301,RS,1,91356,196006,2.1455183616638624
PR19036,PE,1,110053,195814,1.7792586792064684
PR34231,RS,1,90715,193710,2.1353748461667013
PR38445,RS,1,90725,193706,2.1350812511635375
PR38444,RS,1,90720,193694,2.1350655363108975
PR38982,CP,1,98340,193600,1.9686849991697182
PR39013,CP,1,98323,193600,1.9690191826742647
PR39012,CP,1,98327,193598,1.9689154455492468
PR39014,CP,1,98327,193596,1.9688903185769122
PR38981,CP,1,98335,193594,1.9687075720949607
PR38980,CP,1,98335,193594,1.9687257874891153
PR39015,CP,1,98341,193594,1.968590142903715
PR38983,CP,1,98333,193593,1.9687356324644447
PR27104,DF,1,104840,189385,1.8064162380383488
PR38491,RS,1,89059,187390,2.1040940049616004
PR38490,RS,1,89057,187375,2.1039923312242776
PR27091,DF,1,105182,187151,1.779298179463492
PR38527,RS,1,86913,186916,2.150614762350417
PR38526,RS,1,86925,186912,2.150262822580608
PR38892,CP,1,97750,186657,1.9095250829250168
PR34281,RS,1,91132,185907,2.0399608703333265
PR34227,RS,1,76049,185662,2.441348503544555
PR34226,RS,1,76044,185661,2.441466465785266
PR34228,RS,1,76053,185652,2.4410590228927176
PR27114,DF,1,92119,185499,2.013688110729384
PR38896,CP,1,96776,184792,1.9094765311438726
PR38897,CP,1,96777,184785,1.909382129418024
PR38488,RS,1,87625,184429,2.104742533368985
PR38489,RS,1,87630,184420,2.1045258707997716
PR31230,CP,1,98560,181783,1.8443778999901383
PR38534,RS,1,96247,181096,1.8815790827106056
PR38535,RS,1,96248,181085,1.8814288031200845
PR34381,RS,1,86065,180153,2.093212913630467
PR38466,RS,1,94196,176277,1.8713728855699738
PR38467,RS,1,94196,176260,1.8711882785152043
PR27096,DF,1,104016,171447,1.648266592345332
PR39078,CP,1,83822,170317,2.0318897428785316
PR39079,CP,1,83823,170307,2.0317285896351356
PR38909,CP,1,97918,165117,1.6862716062293424
PR38908,CP,1,97905,165103,1.6863620095553815
PR41030,DF,1,74428,164624,2.211840849909732
PR34291,RS,1,78323,164580,2.101286903764061
PR34330,RS,1,89791,164436,1.8313077210408348
PR38473,RS,1,89786,164425,1.8312868338444523
PR34331,RS,1,89776,164421,1.8314433127489507
PR38472,RS,1,89793,164420,1.831101449917739
PR38935,CP,1,98360,164017,1.6675057543248937
PR38934,CP,1,98377,164017,1.6672204513243312
PR19092,PE,1,92651,163381,1.7634042574318551
PR39026,CP,1,82671,161793,1.9570680966454994
PR39027,CP,1,82667,161790,1.9571233781142467
PR38614,CP,1,97374,161745,1.661066105727387
PR38615,CP,1,97364,161743,1.661221440860341
PR39016,CP,1,93617,160977,1.7195141647298897
PR39017,CP,1,93607,160975,1.7196824700910909
PR34570,CP,1,83599,160122,1.915349031045144
PR42826,PE,1,87913,157654,1.7933041560159906
PR27098,DF,1,99330,157517,1.5857968817168577
PR38867,CP,1,86541,156487,1.8082341602166734
PR38866,CP,1,86549,156482,1.8080182231819857
PR19070,PE,1,90818,156063,1.7184098339229514
PR27094,DF,1,93614,155417,1.6601894901796572
PR31317,CP,1,87378,154405,1.7671015164331279
PR27102,DF,1,90057,154140,1.711589204946147
PR38560,CP,1,83345,152429,1.8288775577785843
PR38559,CP,1,83336,152417,1.8289409881195786
PR34307,RS,1,70290,151604,2.156832908073441
PR34250,RS,1,80448,150497,1.8707284827152948
PR34297,RS,1,60848,149007,2.448832209444349
PR34571,CP,1,79179,147285,1.860152984274441
PR27101,DF,1,86373,146176,1.692379972361874
PR19087,PE,1,78993,141825,1.7953998921434338
PR34347,RS,1,66215,141341,2.134574739202827
PR38499,RS,1,75268,140129,1.8617262214524775
PR38498,RS,1,75258,140127,1.8619527174447434
PR38693,CP,1,76903,139952,1.819837196199242
PR38692,CP,1,76905,139944,1.8197091897888749
PR39103,CP,1,81992,139615,1.7027908586083602
PR39102,CP,1,81991,139607,1.7027077658462004
PR27097,DF,1,81350,138528,1.702869243654672
PR34569,CP,1,77226,137556,1.7812123064994132
PR34288,RS,1,63715,136784,2.1467948612311103
PR34289,RS,1,63728,136784,2.146367408206635
PR42889,BA,1,78084,136642,1.7499220077884639
PR19074,PE,1,75526,135915,1.7995774987289213
PR42801,PE,1,68998,134672,1.9518184706249284
PR34560,CP,1,76077,133936,1.7605290878992352
PR34348,RS,1,57106,133398,2.335961992371087
PR39569,PE,1,78134,132114,1.6908681845361204
PR38571,CP,1,78372,130415,1.6640457730466556
PR38572,CP,1,78378,130414,1.6639028697650604
PR38573,CP,1,78387,130410,1.6636638008127334
PR27092,DF,1,82093,130173,1.585668816925575
PR34286,RS,1,71702,129450,1.8053923996294108
PR38741,CP,1,57842,128474,2.2211133265205603
PR38740,CP,1,57839,128467,2.2211232539925416
PR38805,CP,1,67553,128093,1.8961680394270215
PR27112,DF,1,75284,127688,1.6960795044282768
PR34566,CP,1,67539,127480,1.8875011345268233
PR38744,CP,1,71872,126219,1.7561535710956426
PR38745,CP,1,71876,126218,1.7560538408573512
PR38568,CP,1,76052,126010,1.6568880256254594
PR38567,CP,1,76049,126002,1.656856831742718
PR27113,DF,1,76961,124235,1.6142628288628673
PR19053,PE,1,69470,124171,1.7873873196942371
PR34574,CP,1,67114,124004,1.8476442765862215
PR39105,CP,1,69808,121514,1.7406861626487309
PR39104,CP,1,69814,121508,1.7404436260235312
PR38609,CP,1,61601,121320,1.9694386234385757
PR38608,CP,1,61615,121316,1.9689412475760835
PR19052,PE,1,69609,119841,1.7216246256431784
PR38648,CP,1,72684,119819,1.6484884931323658
PR38649,CP,1,72679,119817,1.6485847953280743
PR34576,CP,1,64504,119548,1.8533413782850174
PR38718,CP,1,59826,119182,1.9921444234633303
PR38719,CP,1,59833,119172,1.9917441948889452
PR39106,CP,1,69235,118306,1.708754318417608
PR39107,CP,1,69232,118300,1.7087521342978726
PR19081,PE,1,73876,118247,1.6006145948545616
PR27103,DF,1,69811,116851,1.673805415834968
PR34261,RS,1,54311,116180,2.1391331373780833
PR34262,RS,1,54308,116176,2.1391924779514704
PR38920,CP,1,62398,115565,1.8520646552048805
PR38921,CP,1,62397,115563,1.8520404385663227
PR34302,RS,1,65449,115423,1.7635387762591792
PR38780,CP,1,66116,115285,1.7436807450158192
PR38781,CP,1,66106,115283,1.743902575537087
PR31597,CP,1,65907,114791,1.7417070934402796
PR38537,RS,1,65567,112396,1.7142127902819821
PR34350,RS,1,65567,112394,1.7141730934855262
PR34352,RS,1,65577,112387,1.713818020675504
PR38536,RS,1,65561,112385,1.7142030216352082
PR31082,CP,1,60618,111904,1.8460403876304552
PR34236,RS,1,51670,111641,2.1606259692349137
PR38804,CP,1,58887,109952,1.867174099139526
PR38638,CP,1,62705,109647,1.7485923990024554
PR38639,CP,1,62704,109631,1.748379946000858
PR34299,RS,1,44034,109281,2.4817154052233
PR34562,CP,1,60978,109226,1.7912390200352224
PR34573,CP,1,56755,109187,1.9238340468058657
PR39060,CP,1,53623,108229,2.0183346527286306
PR39061,CP,1,53605,108223,2.0188821478925916
PR38789,CP,1,52252,105695,2.022791523897886
